Gene	# Mut	#	Freq
TPTE2	22	22	3.55%
ING1	29	22	3.55%
TSHZ2	23	22	3.55%
INPP5D	25	22	3.55%
ACTL9	22	22	3.55%
KIT	24	22	3.55%
CASC5	24	22	3.55%
KLHL6	24	22	3.55%
RALGDS	23	22	3.55%
RASA1	22	22	3.55%
RB1	25	22	3.55%
EPHA2	23	22	3.55%
NAT10	22	22	3.55%
BCL11A	21	21	3.39%
F10	21	21	3.39%
MMP9	23	21	3.39%
CUL4B	24	21	3.39%
C17ORF74	22	21	3.39%
GATA3	22	21	3.39%
NTRK1	22	21	3.39%
PCDHB14	26	21	3.39%
MAP3K13	21	21	3.39%
HLA-A	24	21	3.39%
PDHA2	21	21	3.39%
TSC1	22	21	3.39%
CHD2	25	21	3.39%
PML	21	21	3.39%
BCL11B	21	21	3.39%
ZNF513	21	21	3.39%
IRF2BP1	21	21	3.39%
TGM6	21	21	3.39%
KCNJ4	23	21	3.39%
DIAPH1	21	21	3.39%
DNM2	24	21	3.39%
DNMT3A	24	21	3.39%
DNMT3B	24	21	3.39%
EPHB3	20	20	3.23%
SMC1A	20	20	3.23%
ESR1	20	20	3.23%
GRXCR1	21	20	3.23%
MOV10	20	20	3.23%
MSH3	24	20	3.23%
ASMTL	20	20	3.23%
TET1	24	20	3.23%
FZD2	23	20	3.23%
MYBL2	20	20	3.23%
NDOR1	22	20	3.23%
ZNRF4	21	20	3.23%
BCR	20	20	3.23%
NCSTN	22	20	3.23%
CCKAR	20	20	3.23%
PCBP1	20	20	3.23%
HIP1	20	20	3.23%
PDGFRB	21	20	3.23%
PGR	20	20	3.23%
PIK3CD	22	20	3.23%
POU4F3	20	20	3.23%
CPS1	21	20	3.23%
PRKAA2	21	20	3.23%
AHI1	20	20	3.23%
DGKA	20	20	3.23%
PSMC4	20	20	3.23%
ZNF205	21	20	3.23%
CSDE1	23	20	3.23%
MED12	22	20	3.23%
FTMT	20	20	3.23%
RAD50	23	20	3.23%
MARK2	20	20	3.23%
EPHA3	21	20	3.23%
FGFR4	19	19	3.07%
SYNCRIP	19	19	3.07%
PPM1D	20	19	3.07%
MAGEE2	20	19	3.07%
FBXO11	19	19	3.07%
MST1	21	19	3.07%
TP63	20	19	3.07%
ACTRT1	20	19	3.07%
GABRD	19	19	3.07%
CARS	20	19	3.07%
MAGEB6	19	19	3.07%
TYK2	20	19	3.07%
CSNK1A1L	20	19	3.07%
PIK3C2G	23	19	3.07%
CNGA4	20	19	3.07%
OR4N2	20	19	3.07%
WRN	20	19	3.07%
FAM171B	19	19	3.07%
ITIH1	19	19	3.07%
EMSY	21	19	3.07%
JAK1	23	19	3.07%
JAK2	21	19	3.07%
JAK3	20	19	3.07%
TFAP2D	19	19	3.07%
KHDRBS2	22	19	3.07%
BRD3	23	19	3.07%
EBF1	20	19	3.07%
NLRP3	19	19	3.07%
SMAD3	20	19	3.07%
EPHA4	20	19	3.07%
EPHA7	21	19	3.07%
ABL2	20	18	2.91%
STAG1	19	18	2.91%
ZRSR2	18	18	2.91%
FANCA	19	18	2.91%
PARP1	18	18	2.91%
MKL1	18	18	2.91%
PDCD11	19	18	2.91%
SOX3	18	18	2.91%
EPHA6	22	18	2.91%
ASIC5	19	18	2.91%
NFKB1	19	18	2.91%
NUP98	19	18	2.91%
ARHGEF12	20	18	2.91%
TEK	19	18	2.91%
CDH1	20	18	2.91%
HGF	18	18	2.91%
RBPJL	18	18	2.91%
TSHR	18	18	2.91%
HOXD4	18	18	2.91%
PIK3R2	18	18	2.91%
KDM6A	20	18	2.91%
HSP90AB1	18	18	2.91%
MAPK8IP1	18	18	2.91%
HTR1B	19	18	2.91%
ADGRA2	18	18	2.91%
RANBP17	18	18	2.91%
CTNNA1	22	18	2.91%
FERD3L	18	18	2.91%
P2RY8	19	18	2.91%
UPF1	19	18	2.91%
TRAM1L1	21	18	2.91%
EGR3	19	18	2.91%
ELF3	18	18	2.91%
TRIML1	19	17	2.75%
OR2M2	18	17	2.75%
OR2J2	17	17	2.75%
NOD1	17	17	2.75%
HDAC7	19	17	2.75%
SMARCA1	19	17	2.75%
AFF4	19	17	2.75%
SOAT1	18	17	2.75%
S1PR4	17	17	2.75%
TICAM1	17	17	2.75%
NDN	17	17	2.75%
PROKR1	20	17	2.75%
TAP1	19	17	2.75%
OCRL	17	17	2.75%
TEX14	17	17	2.75%
DUSP16	17	17	2.75%
PAX3	19	17	2.75%
HMX2	18	17	2.75%
ZNF358	18	17	2.75%
NR1H2	18	17	2.75%
IGHM	18	17	2.75%
PTX4	18	17	2.75%
TET3	22	17	2.75%
DNTT	18	17	2.75%
RANBP9	18	17	2.75%
NR4A3	20	17	2.75%
USP5	17	17	2.75%
FBXO31	17	17	2.75%
OTOP1	18	17	2.75%
ELN	18	17	2.75%
ERCC4	16	16	2.58%
ERG	16	16	2.58%
MEF2C	18	16	2.58%
RXRA	17	16	2.58%
MET	17	16	2.58%
KRT24	18	16	2.58%
AARS2	17	16	2.58%
MLLT6	19	16	2.58%
ALDH2	16	16	2.58%
OR4C16	17	16	2.58%
RUFY1	16	16	2.58%
KRT37	17	16	2.58%
DKK2	16	16	2.58%
MYF6	17	16	2.58%
WWOX	17	16	2.58%
KDM4C	17	16	2.58%
ERC1	19	16	2.58%
NACA	18	16	2.58%
SRMS	17	16	2.58%
GDF2	16	16	2.58%
STAT6	16	16	2.58%
CXORF67	17	16	2.58%
NUTM1	16	16	2.58%
TCF3	16	16	2.58%
TCF12	16	16	2.58%
TRIM51	17	16	2.58%
TEKT5	16	16	2.58%
TNFAIP3	17	16	2.58%
ACCSL	18	16	2.58%
OR8H2	16	16	2.58%
HLA-G	16	16	2.58%
PMS1	17	16	2.58%
PMS2	17	16	2.58%
WT1	17	16	2.58%
POU3F4	17	16	2.58%
GPR139	17	16	2.58%
CRYBB1	16	16	2.58%
PPP2R1A	16	16	2.58%
CYLD	16	16	2.58%
WHSC1L1	16	16	2.58%
FAM50B	16	16	2.58%
PTPRO	20	16	2.58%
KCNJ5	16	16	2.58%
C7ORF31	16	16	2.58%
DRD3	16	16	2.58%
PALB2	18	16	2.58%
TAF15	16	16	2.58%
BRIP1	15	15	2.42%
MC5R	16	15	2.42%
EXT2	15	15	2.42%
OR2M3	15	15	2.42%
MEN1	15	15	2.42%
ADH1C	16	15	2.42%
ZNF556	15	15	2.42%
FGFR2	16	15	2.42%
SDHA	15	15	2.42%
MRE11A	16	15	2.42%
OR5D18	15	15	2.42%
SLC34A2	16	15	2.42%
GAS7	16	15	2.42%
TBK1	18	15	2.42%
PTH2	16	15	2.42%
SMARCB1	15	15	2.42%
FKBPL	15	15	2.42%
FLCN	15	15	2.42%
IRS2	15	15	2.42%
ZNF679	15	15	2.42%
AVPR1A	15	15	2.42%
CCND1	15	15	2.42%
STAT3	15	15	2.42%
STAT5B	15	15	2.42%
NEFH	15	15	2.42%
GJA8	15	15	2.42%
NMBR	16	15	2.42%
RPS6KA4	15	15	2.42%
NR3C1	17	15	2.42%
CBLB	16	15	2.42%
TLL2	18	15	2.42%
PAK3	16	15	2.42%
POFUT1	15	15	2.42%
CDR1	15	15	2.42%
TRAF2	15	15	2.42%
RBM15	15	15	2.42%
BPIFB3	15	15	2.42%
LRRC30	15	15	2.42%
NFE2L3	17	15	2.42%
OR4C15	15	15	2.42%
CSF1R	16	15	2.42%
PRCC	15	15	2.42%
OR4K5	17	15	2.42%
INHBA	16	15	2.42%
PTK2	16	15	2.42%
PTPN11	15	15	2.42%
ACKR3	17	15	2.42%
RAF1	15	15	2.42%
KRT35	16	15	2.42%
PAK7	15	15	2.42%
OR10C1	15	15	2.42%
MLLT10	17	15	2.42%
FGF23	15	15	2.42%
ELANE	15	15	2.42%
ASXL2	16	15	2.42%
ELL	15	15	2.42%
OR2M5	15	14	2.26%
EXT1	16	14	2.26%
EZH1	14	14	2.26%
OR1J2	15	14	2.26%
FAM166A	16	14	2.26%
CT47B1	16	14	2.26%
FLT3	14	14	2.26%
PMEL	15	14	2.26%
OR5AR1	15	14	2.26%
FOXP1	14	14	2.26%
MYCN	17	14	2.26%
NBN	14	14	2.26%
ACTL7A	14	14	2.26%
ABCG4	16	14	2.26%
GK2	16	14	2.26%
BMP10	14	14	2.26%
NFIB	14	14	2.26%
KLF5	14	14	2.26%
NFKB2	14	14	2.26%
TAP2	16	14	2.26%
GPR25	15	14	2.26%
TEX13A	14	14	2.26%
ARHGAP35	14	14	2.26%
TFE3	14	14	2.26%
OR51M1	14	14	2.26%
RABEP1	14	14	2.26%
OR2Y1	14	14	2.26%
KRTAP4-9	15	14	2.26%
WDR86	14	14	2.26%
U2AF2	16	14	2.26%
CHRM4	14	14	2.26%
RNF113B	15	14	2.26%
GRHPR	14	14	2.26%
MRGPRX1	14	14	2.26%
PKM	14	14	2.26%
MAP4K4	14	14	2.26%
OR8J3	14	14	2.26%
OR10Z1	14	14	2.26%
CRYGC	14	14	2.26%
NUP93	14	14	2.26%
MAP2K1	15	14	2.26%
IL7R	14	14	2.26%
OR4F15	15	14	2.26%
TOX	15	14	2.26%
TUSC3	14	14	2.26%
KTN1	16	14	2.26%
NCOA4	15	14	2.26%
GGTLC1	15	14	2.26%
ELF4	14	14	2.26%
ACOXL	16	14	2.26%
ERCC2	13	13	2.10%
ERCC3	14	13	2.10%
ERCC5	14	13	2.10%
APCDD1	13	13	2.10%
MC3R	13	13	2.10%
MITF	15	13	2.10%
FGFR1	13	13	2.10%
IKZF2	13	13	2.10%
HUS1B	13	13	2.10%
MYF5	13	13	2.10%
GALR1	14	13	2.10%
GPC3	13	13	2.10%
GNA11	13	13	2.10%
PHOX2B	14	13	2.10%
HNF1A	13	13	2.10%
TCF7	13	13	2.10%
GPR20	13	13	2.10%
CRIPAK	14	13	2.10%
ZNF645	14	13	2.10%
NTRK2	13	13	2.10%
OR6C74	14	13	2.10%
SF3B1	13	13	2.10%
TLR4	14	13	2.10%
PAX5	14	13	2.10%
PBX1	13	13	2.10%
KRTAP13-1	13	13	2.10%
TRAF3	13	13	2.10%
CALR3	13	13	2.10%
REC114	14	13	2.10%
BSX	13	13	2.10%
HOXA6	15	13	2.10%
PIK3CB	14	13	2.10%
GORASP1	13	13	2.10%
OR4K2	14	13	2.10%
MAP3K8	15	13	2.10%
ACTRT2	13	13	2.10%
IDH1	13	13	2.10%
PRB3	13	13	2.10%
IGHG2	14	13	2.10%
INPP4A	13	13	2.10%
ITK	13	13	2.10%
DDX10	13	13	2.10%
CANT1	14	13	2.10%
GOLGA5	13	13	2.10%
OR5L2	13	13	2.10%
AKT3	15	13	2.10%
ECT2L	15	13	2.10%
ARPC1B	13	13	2.10%
KRTAP4-6	13	13	2.10%
RPGR	14	13	2.10%
CLTCL1	15	12	1.94%
RPN1	14	12	1.94%
MAS1	13	12	1.94%
ACTB	12	12	1.94%
OR4E2	12	12	1.94%
FOXB2	14	12	1.94%
ETV5	12	12	1.94%
OR2T12	12	12	1.94%
HIST3H3	14	12	1.94%
ESCO1	12	12	1.94%
RAB40AL	12	12	1.94%
MLLT1	12	12	1.94%
MLLT3	12	12	1.94%
NCOA2	13	12	1.94%
TRAF7	12	12	1.94%
PIK3R3	12	12	1.94%
MSH2	12	12	1.94%
MAGEE1	14	12	1.94%
MSN	12	12	1.94%
LRIG3	15	12	1.94%
NT5C2	12	12	1.94%
MUC1	12	12	1.94%
MYC	12	12	1.94%
PLK2	12	12	1.94%
GATA2	12	12	1.94%
BCL3	12	12	1.94%
GALR2	13	12	1.94%
BLM	15	12	1.94%
GMPS	12	12	1.94%
AURKA	13	12	1.94%
NEK2	14	12	1.94%
ZFP36L1	12	12	1.94%
SERPING1	12	12	1.94%
MAP3K7	13	12	1.94%
TAL1	13	12	1.94%
ACSL6	12	12	1.94%
TFRC	16	12	1.94%
CD22	13	12	1.94%
OR52E8	12	12	1.94%
ERRFI1	12	12	1.94%
HIST1H1B	12	12	1.94%
PCSK7	13	12	1.94%
PAX7	12	12	1.94%
HDAC1	12	12	1.94%
OR8H3	13	12	1.94%
PDCD1	12	12	1.94%
PDYN	12	12	1.94%
CBLC	12	12	1.94%
PIK3C3	12	12	1.94%
VAX2	12	12	1.94%
OR4K15	13	12	1.94%
D2HGDH	12	12	1.94%
HSP90AA1	13	12	1.94%
EZR	14	12	1.94%
PACSIN1	13	12	1.94%
POT1	12	12	1.94%
OR4M1	13	12	1.94%
IRF8	12	12	1.94%
OR6N1	12	12	1.94%
OR4M2	13	12	1.94%
OR4P4	12	12	1.94%
PRKAR1A	12	12	1.94%
IL6ST	12	12	1.94%
ZBTB16	13	12	1.94%
GPR101	13	12	1.94%
DDX3X	13	12	1.94%
JUN	12	12	1.94%
OR14J1	12	12	1.94%
CCDC6	14	12	1.94%
FAM58A	12	12	1.94%
KRTAP4-11	12	12	1.94%
OR6K3	12	12	1.94%
EPHB2	12	11	1.78%
OR11L1	11	11	1.78%
OR2L3	12	11	1.78%
OR7C1	11	11	1.78%
ETS1	11	11	1.78%
ETV6	11	11	1.78%
AK9	12	11	1.78%
OR14C36	11	11	1.78%
ACSL3	12	11	1.78%
FANCG	11	11	1.78%
HIST1H3E	11	11	1.78%
KRTAP5-1	12	11	1.78%
FGF6	12	11	1.78%
ALOX12B	11	11	1.78%
MOS	11	11	1.78%
VN1R2	14	11	1.78%
XIAP	11	11	1.78%
C6ORF136	11	11	1.78%
C10ORF120	11	11	1.78%
OR4C12	13	11	1.78%
B4GALT3	11	11	1.78%
SOX10	11	11	1.78%
BACH1	11	11	1.78%
TNFRSF11A	11	11	1.78%
NEU2	11	11	1.78%
ASCL4	11	11	1.78%
KRTAP27-1	13	11	1.78%
OR2A14	11	11	1.78%
SOCS3	11	11	1.78%
TDRD1	12	11	1.78%
SIRT4	11	11	1.78%
OTX2	13	11	1.78%
PSIP1	12	11	1.78%
OR52E6	13	11	1.78%
OR4N4	11	11	1.78%
TMEM201	11	11	1.78%
IDH2	11	11	1.78%
XPO1	11	11	1.78%
YWHAE	11	11	1.78%
OR6K6	12	11	1.78%
TIPARP	11	11	1.78%
CSF3R	11	11	1.78%
IGHA1	11	11	1.78%
IGHG3	11	11	1.78%
PRF1	11	11	1.78%
FCRL4	11	11	1.78%
TET2	11	11	1.78%
CYP17A1	14	11	1.78%
DAO	11	11	1.78%
DDX5	13	11	1.78%
CCNL1	11	11	1.78%
OR10H5	11	11	1.78%
SH2B3	11	11	1.78%
RECQL	11	11	1.78%
ABCF2	11	11	1.78%
LCP1	13	11	1.78%
OR4K14	11	11	1.78%
ZNF750	12	11	1.78%
FANCI	13	11	1.78%
LPP	11	11	1.78%
OR10K1	11	11	1.78%
MAF	12	11	1.78%
RPS6KB2	11	10	1.62%
EWSR1	10	10	1.62%
BAP1	10	10	1.62%
FANCE	10	10	1.62%
NDRG1	10	10	1.62%
FGFR3	10	10	1.62%
CUL3	11	10	1.62%
MAP2K4	10	10	1.62%
OR4C11	10	10	1.62%
NCKIPSD	10	10	1.62%
BIRC3	11	10	1.62%
OR8K3	10	10	1.62%
OR8J1	10	10	1.62%
DIS3	10	10	1.62%
GNA13	11	10	1.62%
SMO	10	10	1.62%
MAML2	10	10	1.62%
FUS	10	10	1.62%
FYN	10	10	1.62%
MYB	11	10	1.62%
CD276	10	10	1.62%
SRC	10	10	1.62%
HTR3C	11	10	1.62%
OPN1SW	10	10	1.62%
INPP4B	10	10	1.62%
STAT5A	11	10	1.62%
NGF	10	10	1.62%
MLST8	10	10	1.62%
OR4D5	10	10	1.62%
DDR2	11	10	1.62%
SOX17	10	10	1.62%
TEX13B	11	10	1.62%
RUNX1	10	10	1.62%
CBFA2T3	10	10	1.62%
CBL	10	10	1.62%
OR52H1	10	10	1.62%
WIF1	10	10	1.62%
PARK2	10	10	1.62%
HIST1H1A	10	10	1.62%
SUZ12	10	10	1.62%
ZNF384	11	10	1.62%
PDGFB	11	10	1.62%
S1PR2	11	10	1.62%
CHUK	10	10	1.62%
HOXC13	11	10	1.62%
OR5P2	10	10	1.62%
WAS	10	10	1.62%
XPC	10	10	1.62%
PPP6C	11	10	1.62%
SLC45A3	10	10	1.62%
IKBKE	10	10	1.62%
OR4A15	10	10	1.62%
SS18L1	10	10	1.62%
OR6N2	10	10	1.62%
OR13C8	10	10	1.62%
OR13C3	10	10	1.62%
OR2F1	10	10	1.62%
